epoch,Alarm_bell_ringing,Speech,Dog,Cat,Vacuum_cleaner,Dishes,Frying,Electric_shaver_toothbrush,Blender,Running_water
1,1.0,0.7080745341614907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.0,0.7675438596491229,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.16666666666666666
3,0.0,0.8449612403100775,0.0,0.0,0.625,0.0,0.0,0.0,0.0,0.0
4,0.5833333333333334,0.7096774193548387,0.0,0.0,1.0,0.576271186440678,0.72,0.5,0.0,0.3089430894308943
5,1.0,0.7057142857142857,0.0,0.0,0.6666666666666666,0.3391812865497076,0.6232876712328768,1.0,0.0,0.27976190476190477
6,0.7777777777777778,0.7596153846153846,1.0,0.0,0.8,0.5822784810126582,0.7378640776699029,0.75,0.6666666666666666,0.3007518796992481
7,0.7142857142857143,0.7830508474576271,0.0,0.0,1.0,0.5901639344262295,0.8360655737704918,0.5714285714285714,0.0,0.3541666666666667
8,0.7272727272727273,0.9049773755656109,0.0,0.0,0.5714285714285714,0.6607142857142857,0.8529411764705882,1.0,0.4,0.3815789473684211
9,1.0,0.8320610687022901,1.0,1.0,1.0,0.3177083333333333,0.6040268456375839,1.0,0.0,0.3258426966292135
10,0.7407407407407407,0.8549618320610687,0.9444444444444444,1.0,0.7857142857142857,0.5086206896551724,0.7352941176470589,1.0,0.25,0.5208333333333334
11,0.7142857142857143,0.943127962085308,0.8333333333333334,0.75,0.625,0.5517241379310345,0.8405797101449275,1.0,0.2727272727272727,0.5789473684210527
12,0.9047619047619048,0.7447447447447447,0.9090909090909091,1.0,1.0,0.45384615384615384,0.7647058823529411,0.7,0.4,0.4126984126984127
13,0.8260869565217391,0.9459459459459459,0.9375,0.6875,0.6,0.453125,0.7355371900826446,1.0,0.375,0.4166666666666667
14,0.8695652173913043,0.8888888888888888,1.0,0.875,0.8,0.5045045045045045,0.7789473684210526,1.0,0.5,0.40625
15,0.8260869565217391,0.8607142857142858,0.8571428571428571,0.7,0.8,0.5288461538461539,0.8433734939759037,1.0,0.3076923076923077,0.5384615384615384
16,0.9090909090909091,0.9163179916317992,0.8620689655172413,0.45454545454545453,0.75,0.5512820512820513,0.9361702127659575,1.0,0.35,0.4125
17,0.8,0.8482758620689655,0.8181818181818182,0.8333333333333334,1.0,0.49514563106796117,0.8813559322033898,1.0,0.16666666666666666,0.39325842696629215
18,0.7931034482758621,0.9554455445544554,0.7121212121212122,0.6,1.0,0.3,0.9642857142857143,0.5555555555555556,0.4375,0.4186046511627907
19,0.88,0.9523809523809523,0.9655172413793104,0.6666666666666666,0.6470588235294118,0.42857142857142855,0.967741935483871,0.7272727272727273,0.4,0.35384615384615387
20,0.8378378378378378,0.9577464788732394,0.8648648648648649,0.6666666666666666,0.5757575757575758,0.625,0.9433962264150944,1.0,0.39473684210526316,0.5135135135135135
21,0.918918918918919,0.9253112033195021,0.6666666666666666,0.7142857142857143,1.0,0.4263565891472868,0.9285714285714286,1.0,1.0,0.36
22,0.875,0.954337899543379,0.8888888888888888,0.68,0.6,0.5462962962962963,0.7909090909090909,1.0,0.5833333333333334,0.5869565217391305
23,0.8571428571428571,0.9401709401709402,0.6984126984126984,0.6111111111111112,0.5945945945945946,0.5,1.0,0.43478260869565216,0.43333333333333335,0.7666666666666667
24,0.9512195121951219,0.9069767441860465,0.85,0.8888888888888888,0.9,0.65,0.9545454545454546,1.0,0.42857142857142855,0.3779527559055118
25,0.9302325581395349,0.9388646288209607,0.7962962962962963,0.8461538461538461,0.6666666666666666,0.6956521739130435,0.975,1.0,0.4838709677419355,0.3611111111111111
26,0.8813559322033898,0.9798994974874372,0.8222222222222222,0.7272727272727273,0.7222222222222222,0.6,1.0,0.21739130434782608,0.34615384615384615,0.4567901234567901
27,0.9347826086956522,0.9237668161434978,0.96875,0.9166666666666666,0.8461538461538461,0.45098039215686275,0.9354838709677419,1.0,0.36363636363636365,0.3680555555555556
28,0.88,0.9364406779661016,0.875,0.8947368421052632,0.64,0.7017543859649122,0.9375,1.0,0.45714285714285713,0.4563106796116505
29,0.9302325581395349,0.9615384615384616,0.8367346938775511,0.7333333333333333,0.6111111111111112,0.6363636363636364,0.9166666666666666,1.0,0.42105263157894735,0.43434343434343436
30,0.9056603773584906,0.9603960396039604,1.0,0.7407407407407407,0.6129032258064516,0.9375,0.9482758620689655,0.9,0.34285714285714286,0.2962962962962963
31,0.8928571428571429,0.957345971563981,1.0,0.9047619047619048,0.6,0.8181818181818182,0.9552238805970149,0.6470588235294118,0.45161290322580644,0.5204081632653061
32,0.9615384615384616,0.9308943089430894,0.8076923076923077,0.6571428571428571,1.0,0.6341463414634146,0.8888888888888888,1.0,0.0,0.30409356725146197
33,0.9285714285714286,0.9449152542372882,0.6282051282051282,0.7096774193548387,0.75,0.5697674418604651,0.9130434782608695,1.0,0.47058823529411764,0.6153846153846154
34,0.9122807017543859,0.9424778761061947,0.6486486486486487,1.0,0.6363636363636364,0.48936170212765956,0.9310344827586207,1.0,0.5,0.7058823529411765
35,0.9,0.9429824561403509,0.9743589743589743,0.7666666666666667,0.625,0.6216216216216216,0.8160919540229885,1.0,0.5161290322580645,0.7755102040816326
36,0.9019607843137255,0.9511111111111111,0.9722222222222222,0.7647058823529411,0.6666666666666666,0.4956521739130435,0.8316831683168316,1.0,0.5384615384615384,0.5432098765432098
37,0.95,0.9553571428571429,0.8571428571428571,0.7567567567567568,0.6216216216216216,0.47058823529411764,0.736,1.0,0.5238095238095238,0.75
38,0.9152542372881356,0.9495798319327731,0.9166666666666666,0.7297297297297297,0.6521739130434783,0.6282051282051282,0.8723404255319149,1.0,0.52,0.5529411764705883
39,0.9166666666666666,0.9669811320754716,0.8541666666666666,0.6538461538461539,0.5833333333333334,0.46923076923076923,0.7589285714285714,1.0,0.5185185185185185,0.7
40,0.9636363636363636,0.9533898305084746,0.7096774193548387,0.7692307692307693,0.6774193548387096,0.7301587301587301,0.9154929577464789,1.0,0.45714285714285713,0.6216216216216216
41,0.8732394366197183,0.9559471365638766,0.8,0.7857142857142857,0.6363636363636364,0.5730337078651685,0.8636363636363636,1.0,0.5238095238095238,0.5769230769230769
42,0.9333333333333333,0.932,0.8409090909090909,0.7096774193548387,0.6521739130434783,0.5,0.8415841584158416,1.0,0.5294117647058824,0.6666666666666666
