filename	onset	offset	event_label
YX-jJxA53SFI_130.000_140	0.580046	3.248260	Speech
YX-jJxA53SFI_130.000_140	3.526682	5.243619	Speech
YX-jJxA53SFI_130.000_140	5.846868	7.749420	Speech
YX-jJxA53SFI_130.000_140	7.888631	9.907193	Speech
YBJimHxqGfig_50.000_60	0.000000	10.023202	Vacuum_cleaner
YC7TihoHf_hM_20.000_30	1.345708	3.155452	Alarm_bell_ringing
YC7TihoHf_hM_20.000_30	3.364269	4.361949	Alarm_bell_ringing
YC7TihoHf_hM_20.000_30	4.431555	5.429234	Alarm_bell_ringing
YC7TihoHf_hM_20.000_30	5.498840	7.331787	Alarm_bell_ringing
YC7TihoHf_hM_20.000_30	7.378190	8.352668	Alarm_bell_ringing
YC7TihoHf_hM_20.000_30	8.352668	9.257541	Alarm_bell_ringing
YC7TihoHf_hM_20.000_30	9.419954	9.860789	Alarm_bell_ringing
Y-wQ8El8J_dE_30.000_40	0.046404	0.185615	Speech
Y-wQ8El8J_dE_30.000_40	0.626450	2.157773	Speech
Y-wQ8El8J_dE_30.000_40	3.665893	5.336427	Speech
Y-wQ8El8J_dE_30.000_40	5.823666	7.981439	Speech
Y-wQ8El8J_dE_30.000_40	8.167053	8.468677	Speech
Y-wQ8El8J_dE_30.000_40	8.723898	9.860789	Speech
Y63Qy15I3QGE_30.000_40
YPB3VhxPnYIQ_30.000_40	0.000000	2.436195	Dog
YPB3VhxPnYIQ_30.000_40	2.482599	9.930394	Dog
Y-UKH_6moRZc_180.000_190	0.000000	0.788863	Speech
Y-UKH_6moRZc_180.000_190	2.088167	3.062645	Speech
Y-UKH_6moRZc_180.000_190	4.547564	7.470998	Speech
Y-UKH_6moRZc_180.000_190	7.726218	9.698376	Speech
Y-UKH_6moRZc_180.000_190	0.069606	0.835267	Cat
Y-UKH_6moRZc_180.000_190	1.647332	1.972158	Cat
Y-UKH_6moRZc_180.000_190	2.366589	3.271462	Cat
Y-UKH_6moRZc_180.000_190	4.686775	5.707657	Cat
Y-UKH_6moRZc_180.000_190	6.194896	6.264501	Cat
Y-UKH_6moRZc_180.000_190	6.264501	8.979118	Cat
YP15JhIEHVHg_30.000_40	0.000000	9.907193	Dog
Y_Uf47SnKl5Q_30.000_40	1.044084	3.039443	Alarm_bell_ringing
YClxksvHH8Xs_320.000_330	0.000000	10.000000	Dog
Y9BGPUKwmSEY_240.000_250	4.106729	6.983759	Speech
Y9BGPUKwmSEY_240.000_250	8.747100	9.976798	Speech
Y9BGPUKwmSEY_240.000_250	0.000000	10.023202	Dishes
Y9BGPUKwmSEY_240.000_250	0.069606	9.837587	Frying
Y9BGPUKwmSEY_240.000_250	9.860789	9.953596	Frying
YIEC8cLcZ6IE_170.000_180	0.788863	2.598608	Speech
YIEC8cLcZ6IE_170.000_180	2.807425	3.921114	Speech
YIEC8cLcZ6IE_170.000_180	4.524362	7.587007	Speech
YIEC8cLcZ6IE_170.000_180	7.633411	8.793503	Speech
YIEC8cLcZ6IE_170.000_180	8.932715	9.559165	Speech
YIEC8cLcZ6IE_170.000_180	0.000000	0.116009	Electric_shaver_toothbrush
YIEC8cLcZ6IE_170.000_180	0.742459	2.645012	Electric_shaver_toothbrush
YIEC8cLcZ6IE_170.000_180	2.807425	8.793503	Electric_shaver_toothbrush
YIEC8cLcZ6IE_170.000_180	8.909513	9.628770	Electric_shaver_toothbrush
Y1D4LxbOVn1I_30.000_40	2.575406	3.549884	Speech
Y1D4LxbOVn1I_30.000_40	4.709977	5.406032	Speech
Y1D4LxbOVn1I_30.000_40	5.754060	6.426914	Speech
Y1D4LxbOVn1I_30.000_40	0.301624	0.835267	Dog
Y1D4LxbOVn1I_30.000_40	1.044084	2.343387	Dog
Y1D4LxbOVn1I_30.000_40	4.013921	5.962877	Dog
Y1D4LxbOVn1I_30.000_40	6.078886	7.958237	Dog
Y1D4LxbOVn1I_30.000_40	8.538283	8.886311	Dog
YUAhzckt0y3U_30.000_40	0.000000	10.000000	Dog
YDaaY_n80b2Y_5.000_15	0.000000	1.716937	Speech
YDaaY_n80b2Y_5.000_15	2.041763	2.621810	Speech
YDaaY_n80b2Y_5.000_15	2.645012	3.387471	Speech
YDaaY_n80b2Y_5.000_15	3.457077	3.480278	Speech
YDaaY_n80b2Y_5.000_15	3.503480	4.106729	Speech
YDaaY_n80b2Y_5.000_15	4.779582	5.243619	Speech
YDaaY_n80b2Y_5.000_15	5.266821	5.754060	Speech
YDaaY_n80b2Y_5.000_15	7.401392	8.515081	Speech
YDaaY_n80b2Y_5.000_15	0.000000	1.438515	Dishes
YDaaY_n80b2Y_5.000_15	1.948956	9.141531	Dishes
Y-mpapCZXors_330.000_340
Y0MEPG8c0jqk_490.000_500	0.000000	0.464037	Dishes
YcJv6x6TN1bw_480.000_490	0.116009	9.976798	Speech
YcJv6x6TN1bw_480.000_490	0.000000	6.682135	Dishes
YcJv6x6TN1bw_480.000_490	6.844548	6.867749	Dishes
YcJv6x6TN1bw_480.000_490	0.046404	6.798144	Frying
YcJv6x6TN1bw_480.000_490	7.215777	9.953596	Frying
Y4Jc8UZHaqHw_19.000_29	0.000000	1.763341	Dog
Y4Jc8UZHaqHw_19.000_29	1.832947	2.993039	Dog
Y4Jc8UZHaqHw_19.000_29	3.085847	3.805104	Dog
